id,date,text,source,clean_text,label,confidence,label_reason
494895735876648960,Thu Jul 31 17:21:52 +0000 2014,"RT @kimbrunhuber: CDC issuing a travel advisory against non-essential travel to Guinea, Liberia, Sierra Leone because of #Ebola ""potential …",CBCHEALTH.CSV,cdc issuing travel advisory nonessential travel guinea liberia sierra leone ebola potential,1,0.9,"official_concern: cdc, advisory"
518132978992807936,Fri Oct 03 20:18:23 +0000 2014,RT @ReutersUS: Four people quarantined in Texas Ebola case will be moved soon to another location: Dallas County Fire Marshal,REUTERSHEALTH.CSV,four people quarantined texas ebola case moved soon another location dallas county fire marshal,1,0.9,geographic: county | multiple_cases: another
494951706224893952,Thu Jul 31 21:04:17 +0000 2014,U.S. to modernize poultry inspections to boost food safety http://reut.rs/1nORkcQ,REUTERSHEALTH.CSV,modernize poultry inspections boost food safety,0,0.7,No outbreak indicators found
561846665490210816,Sun Feb 01 11:20:58 +0000 2015,China to tackle food safety as policy priority: Xinhua http://reut.rs/1EXlNeU,REUTERSHEALTH.CSV,china tackle food safety policy priority xinhua,0,0.7,No outbreak indicators found
521665128786178048,Mon Oct 13 14:13:53 +0000 2014,Birth control pill threatens fish populations http://www.cbc.ca/news/technology/birth-control-pill-threatens-fish-populations-1.2796897?cmp=rss,CBCHEALTH.CSV,birth control pill threatens fish populations,0,0.7,No outbreak indicators found
542770529778679809,Wed Dec 10 19:59:13 +0000 2014,Helping kids kick the pain and fear out of cancer #CNNHeroes http://cnn.it/1vOKR5U http://pbs.twimg.com/media/B4hO613CMAEDwkG.jpg,CNNHEALTH.CSV,helping kids kick pain fear cancer cnnheroes,0,0.7,No outbreak indicators found
503563172729470976,Sun Aug 24 15:23:10 +0000 2014,Philippines to repatriate workers from Ebola-hit West Africa http://reut.rs/1ptNZRl,REUTERSHEALTH.CSV,philippines repatriate workers ebolahit west africa,0,0.7,No outbreak indicators found
494185766298218496,Tue Jul 29 18:20:42 +0000 2014,'Child malaria vaccine milestone' http://bbc.in/1nZjcuq,BBCHEALTH.CSV,child malaria vaccine milestone,0,0.9,Individual symptom mention only
276116755645079552,Wed Dec 05 00:12:19 +0000 2012,Experts: #Flu season spreading faster than usual http://at.cnn.com/dqxOFG0,CNNHEALTH.CSV,experts flu season spreading faster usual,1,1.0,"community_spread: spreading, spread | rapid_increase: fast, spreading fast"
483698881427812352,Mon Jun 30 19:49:34 +0000 2014,"Caffeine overdose killed high school senior, coroner finds http://www.cbc.ca/news/health/caffeine-overdose-killed-high-school-senior-coroner-finds-1.2692169?cmp=rss",CBCHEALTH.CSV,caffeine overdose killed high school senior coroner finds,1,0.8500000000000001,community_spread: school
567970912869285888,Wed Feb 18 08:56:32 +0000 2015,VIDEO: Drug and Alcohol Courts to be extended http://bbc.in/1EOnmLt,BBCHEALTH.CSV,video drug alcohol courts extended,0,0.7,No outbreak indicators found
421654715659583488,Fri Jan 10 14:48:12 +0000 2014,Medical marijuana ‘completely fine’: Peter MacKay http://bit.ly/1ipSG9b,CBCHEALTH.CSV,medical marijuana completely fine peter mackay,0,0.7,No outbreak indicators found
479403751606718464,Wed Jun 18 23:22:15 +0000 2014,Drugmakers link with academia in giant UK dementia project http://reut.rs/1lWZMFR,REUTERSHEALTH.CSV,drugmakers link academia giant dementia project,0,0.7,No outbreak indicators found
494120609803014144,Tue Jul 29 14:01:48 +0000 2014,NCAA agrees to settle head injury suit for $70 million http://reut.rs/1rB7Uw6,REUTERSHEALTH.CSV,ncaa agrees settle head injury suit million,0,0.7,No outbreak indicators found
395140173307998208,Tue Oct 29 10:48:53 +0000 2013,VIDEO: Students tackle mental health stigma http://bbc.in/1dkXRVN,BBCHEALTH.CSV,video students tackle mental health stigma,0,0.7,No outbreak indicators found
324587010587250690,Wed Apr 17 18:15:48 +0000 2013,@MManfrediElite Hey! Would love to use this #pollen photo for a gallery on http://CNN.com   -- pls email Jacque.Wilson@turner.com,CNNHEALTH.CSV,hey would love use pollen photo gallery pls email jacquewilsoncom,0,0.7,No outbreak indicators found
448298463881482241,Tue Mar 25 03:20:57 +0000 2014,Faulty 'delayed puberty' gene found http://bbc.in/1rruZmo,BBCHEALTH.CSV,faulty delayed puberty gene found,0,0.7,No outbreak indicators found
562229177571500035,Mon Feb 02 12:40:56 +0000 2015,Baby bath-seat drowning risk warning http://bbc.in/18HcoO4,BBCHEALTH.CSV,baby bathseat drowning risk warning,1,0.8500000000000001,official_concern: warning
301770209868521472,Wed Feb 13 19:09:59 +0000 2013,Sticking to #weightloss goals http://at.cnn.com/BTgCabE,CNNHEALTH.CSV,sticking weightloss goals,0,0.9,Individual symptom mention only
573135932980899841,Wed Mar 04 15:00:29 +0000 2015,Exclusive: McDonald's USA to phase out human antibiotics from chicken supply http://reut.rs/1CvUACa,REUTERSHEALTH.CSV,exclusive mcdonalds usa phase human antibiotics chicken supply,0,0.7,No outbreak indicators found
517685297761759232,Thu Oct 02 14:39:27 +0000 2014,Dallas Ebola patient vomited outside apartment as he was bundled into ambulance: http://reut.rs/Zvtom6 http://pbs.twimg.com/media/By8wCQpIAAAz_cQ.jpg,REUTERSHEALTH.CSV,dallas ebola patient vomited outside apartment bundled ambulance,0,0.7,severity: ambulance
304290945199919105,Wed Feb 20 18:06:29 +0000 2013,What's the biggest mistake ppl make at the gym? Join us Friday on FB at noon ET to ask celeb trainer @DavidKirsch http://at.cnn.com/p5QWwSw,CNNHEALTH.CSV,whats biggest mistake ppl make gym join friday noon ask celeb trainer,0,0.7,No outbreak indicators found
517069411019390976,Tue Sep 30 21:52:08 +0000 2014,Trio of pharma companies jump after CDC confirms U.S. Ebola case http://reut.rs/1v1Y3R8,REUTERSHEALTH.CSV,trio pharma companies jump cdc confirms ebola case,1,0.9,rapid_increase: jump | official_concern: cdc
521773996346712065,Mon Oct 13 21:26:29 +0000 2014,"Medical, biotech stocks jump after U.S. nurse contracts Ebola http://reut.rs/11fYDSQ",REUTERSHEALTH.CSV,medical biotech stocks jump nurse contracts ebola,0,0.7,rapid_increase: jump
481492513291653120,Tue Jun 24 17:42:15 +0000 2014,Death or immobility often follows hip fractures in nursing homes http://reut.rs/1mbpodi,REUTERSHEALTH.CSV,death immobility often follows hip fractures nursing homes,0,0.7,severity: death
514628101553532928,Wed Sep 24 04:11:15 +0000 2014,"Aid groups urge faster, grassroots Ebola response as world leaders meet http://reut.rs/1mOpgba",REUTERSHEALTH.CSV,aid groups urge faster grassroots ebola response world leaders meet,0,0.7,rapid_increase: fast
275909814897483778,Tue Dec 04 10:30:00 +0000 2012,China faces #HIV / #AIDS epidemic http://at.cnn.com/s91edwE,CNNHEALTH.CSV,china faces hiv aids epidemic,1,0.8500000000000001,community_spread: epidemic
521647764803829760,Mon Oct 13 13:04:53 +0000 2014,'A breach in protocol': Texas health-care worker tests positive for Ebola http://www.cbc.ca/news/world/ebola-test-on-texas-health-care-worker-comes-back-positive-1.2796433?cmp=rss,CBCHEALTH.CSV,breach protocol texas healthcare worker tests positive ebola,0,0.7,No outbreak indicators found
537775233885696000,Thu Nov 27 01:09:41 +0000 2014,Tracing the Ebola outbreak http://bbc.in/1yZKtQF,BBCHEALTH.CSV,tracing ebola outbreak,0,0.8500000000000001,Individual symptom mention only
